BreweryID,BreweryName,Type,ReviewLink,ProxyLink,Map,StreetAddress,City,State,Zip,Country,PhoneNum,Website,Rating,ImageCount
21938,5168 Brewing,Brewery,https://beermapping.com/location/21938,http://beermapping.com/maps/proxymaps.php?locid=21938&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21938&amp;d=1&amp;type=norm,5730 Hidcote Drive,Lincoln,NE,68516,United States,402-875-5588,,0,0
22335,5168 Taproom,Beer Bar,https://beermapping.com/location/22335,http://beermapping.com/maps/proxymaps.php?locid=22335&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=22335&amp;d=1&amp;type=norm,3201 Farnam Street,Omaha,NE,68131,United States,402-934-5168,http://www.5168brewing.com/,0,0
21215,Alamo Draft House,Beer Bar,https://beermapping.com/location/21215,http://beermapping.com/maps/proxymaps.php?locid=21215&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21215&amp;d=1&amp;type=norm,12750 Westport Pkwy,La Vista,NE,68138,United States,402-505-9979,https://drafthouse.com/omaha,0,0
19644,Backswing Brewing,Brewery,https://beermapping.com/location/19644,http://beermapping.com/maps/proxymaps.php?locid=19644&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=19644&amp;d=1&amp;type=norm,500 W South St #8,Lincoln,NE,68522,United States,(402) 515-4263,facebook.com/BackswingBrewingCo/timeline,0,0
21194,Backswing Brewing Company,Brewery,https://beermapping.com/location/21194,http://beermapping.com/maps/proxymaps.php?locid=21194&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21194&amp;d=1&amp;type=norm,500 W South St #8,Lincoln,NE,68522,United States,402-515-4263,,0,0
14326,Beaver View Brewing,Brewery,https://beermapping.com/location/14326,http://beermapping.com/maps/proxymaps.php?locid=14326&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=14326&amp;d=1&amp;type=norm,524 S. 4th Street,Albion,NE,68620,United States,,,0,0
15824,Beer Corner USA,Beer Bar,https://beermapping.com/location/15824,http://beermapping.com/maps/proxymaps.php?locid=15824&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=15824&amp;d=1&amp;type=norm,3578 Farnam Street,Omaha,NE,68131,United States,(402) 345-1708,beercornerusa.com,0,0
15395,Beercade,Beer Bar,https://beermapping.com/location/15395,http://beermapping.com/maps/proxymaps.php?locid=15395&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=15395&amp;d=1&amp;type=norm,6102 Maple St,Omaha,NE,68102,United States,(402) 934-9633,thebeercade.com,0,0
5570,Beertopia,Beer Store,https://beermapping.com/location/5570,http://beermapping.com/maps/proxymaps.php?locid=5570&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=5570&amp;d=1&amp;type=norm,3570 Farnam Street,Omaha,NE,68131,United States,402-905-2603,,0,0
17706,Benson Brewery,Brewpub,https://beermapping.com/location/17706,http://beermapping.com/maps/proxymaps.php?locid=17706&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=17706&amp;d=1&amp;type=norm,6059 Maple Street,Omaha,NE,68104,United States,(402) 937-1892,bensonbrewery.com,0,0
21209,Blat Beer and Table,Beer Bar,https://beermapping.com/location/21209,http://beermapping.com/maps/proxymaps.php?locid=21209&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21209&amp;d=1&amp;type=norm,2835 S 170th St #200,Omaha,NE,68135,United States,402-697-7802,http://blattbeer.com/,0,0
21208,Blatt Beer and Table,Beer Bar,https://beermapping.com/location/21208,http://beermapping.com/maps/proxymaps.php?locid=21208&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21208&amp;d=1&amp;type=norm,610 North 12th street,Omaha,NE,68102,United States,402-718-8822,http://blattbeer.com/,0,0
21210,Blatt Beer and Table,Beer Bar,https://beermapping.com/location/21210,http://beermapping.com/maps/proxymaps.php?locid=21210&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=21210&amp;d=1&amp;type=norm,"Westroads Mall, 10000 California St",Omaha,NE,68114,United States,402-932-9993,http://blattbeer.com/,0,0
14814,Blue Blood Brewing Company,Brewery,https://beermapping.com/location/14814,http://beermapping.com/maps/proxymaps.php?locid=14814&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=14814&amp;d=1&amp;type=norm,925 Robber's Cave Rd,Lincoln,NE,68522,United States,(402) 477-2337,bluebloodbrewing.com,0,0
20376,Boiler Brewing Company,Brewery,https://beermapping.com/location/20376,http://beermapping.com/maps/proxymaps.php?locid=20376&amp;d=5,http://beermapping.com/maps/blogproxy.php?locid=20376&amp;d=1&amp;type=norm,"129 N 10th St, Suite 8",Lincoln,NE,68508,United States,402-261-8775,boilerbrewingcompany.com,0,0
